order_id,customer_id,product_id,quantity,unit_price,currency,order_date,status,coupon
O1001,C001,P100,3,4.50,USD,2024-11-03,completed,
O1002,C002,P102,1,80.00,GBP,2024-11-05,completed,SAVE10
O1003,C003,P104,2,9.99,EUR,2024-11-07,completed,
O1004,C001,P103,1,120.00,USD,2024-11-10,completed,FLAT5
O1005,C004,P105,2,30.00,USD,2024-11-12,completed,
O1005,C004,P105,2,30.00,USD,2024-11-12,refunded,
O1006,c005,P101,10,1.20,USD,2024-11-15,completed,SAVE25
O1007,C006,P106,1,45.00,GBP,2024-11-20,completed,
O1008,C002,P100,5,4.50,EUR,2024-11-28,completed,
O1009,C001,P102,2,75.00,USD,2024-12-02,completed,SAVE10
O1010,C003,P103,1,110.00,EUR,2024-12-04,canceled,
O1011,C007,P104,4,8.00,USD,2024-12-06,completed,FLAT5
O1012,C005,P105,1,28.50,USD,2024-12-10,completed,
O1013,C004,P106,1,50.00,USD,2024-12-15,pending,
O1014,C002,P101,20,1.10,GBP,2024-12-20,completed,
O1015,C006,P102,1,85.00,USD,2024-12-24,completed,SAVE25
O1016,C001,P100,2,4.50,USD,2024-12-31,completed,
O1017,C099,P103,1,115.00,USD,2025-01-02,completed,
O1018,C003,P101,6,1.00,EUR,05/01/2025,completed,
O1019,C007,P999,1,10.00,USD,2025-01-07,completed,
O1020,C002,P103,1,125.00,GBP,2025-01-10,completed,SAVE10
O1021,C005,P104,3,9.50,USD,2025-01-12,completed,FLAT5
O1022,C006,P105,2,29.00,EUR,2025-01-18,completed,
O1023,C001,P106,1,48.00,USD,03/02/2025,completed,SAVE10
O1024,C004,P102,1,80.00,USD,2025-02-10,completed,
O1025,C002,P100,3,4.50,USD,2025-02-14,refunded,
O1026,C007,P101,12,1.00,USD,2025-02-20,completed,
O1027,C003,P105,1,31.00,EUR,2025-02-25,completed,
O1028,C001,P100,0,4.50,USD,2025-02-01,completed,
O1029,C002,P101,,1.10,USD,2025-02-02,completed,
O1030,C003,P102,1,80.00,JPY,2025-02-03,completed,
O1031,C004,P103,1,120.00,USD,2025-13-45,completed,
O1032,C005,P104,1,9.00,USD,2025-02-04,shipped,
,C006,P105,1,29.00,USD,2025-02-05,completed,
 O1033 ,C001,P100,2,4.50,USD,2025-02-27,completed,
